fpv,tp,fp,tn,fn,accuracy,precision,recall,datasets
500,169,124,11,63,0.4904632152588556,0.5767918088737202,0.728448275862069,ShanghaiTech-Avenu-StreetScen
500,6,4,24,7,0.7317073170731707,0.6,0.46153846153846156,Avenu
500,18,1,6,52,0.3116883116883117,0.9473684210526315,0.2571428571428571,ShanghaiTech
500,151,124,4,11,0.5344827586206896,0.5490909090909091,0.9320987654320988,StreetScen
50,678,1330,950,603,0.457174950856501,0.3376494023904382,0.5292740046838408,ShanghaiTech-Avenu-StreetScen
50,12,53,220,30,0.7365079365079366,0.18461538461538463,0.2857142857142857,Avenu
50,54,43,180,239,0.45348837209302323,0.5567010309278351,0.18430034129692832,ShanghaiTech
50,612,1234,550,334,0.4256410256410256,0.3315276273022752,0.6469344608879493,StreetScen
10,1507,2548,9347,4170,0.6176872296835876,0.37163995067817507,0.26545710762726793,ShanghaiTech-Avenu-StreetScen
10,34,112,1251,142,0.8349577647823262,0.2328767123287671,0.19318181818181818,Avenu
10,475,270,978,699,0.5999174236168456,0.6375838926174496,0.4045996592844974,ShanghaiTech
10,998,2166,7118,3329,0.5962824186319888,0.31542351453855877,0.23064478853709267,StreetScen
250,265,307,80,110,0.452755905511811,0.4632867132867133,0.7066666666666667,ShanghaiTech-Avenu-StreetScen
250,5,11,46,10,0.7083333333333334,0.3125,0.3333333333333333,Avenu
250,235,291,9,22,0.4380610412926391,0.4467680608365019,0.914396887159533,StreetScen
250,25,5,25,78,0.37593984962406013,0.8333333333333334,0.24271844660194175,ShanghaiTech
250,25,5,25,78,0.37593984962406013,0.8333333333333334,0.24271844660194175,ShanghaiTech-Avenu-StreetScen
